Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,date,day,month,year,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00001,2,0,1,2,Meal Plan 1,Room_Type 1,224,10/2/2017,10,02,2017,2017/02/10,Offline,65,Not_Canceled
INN00002,2,0,2,3,Not Selected,Room_Type 1,5,11/6/2018,11,06,2018,2018/06/11,Online,106.68,Not_Canceled
INN00003,1,0,2,1,Meal Plan 1,Room_Type 1,1,28-02-2018,28,02,2018,2018/02/28,Online,60,Canceled
INN00004,2,0,0,2,Meal Plan 1,Room_Type 1,211,20-05-2018,20,05,2018,2018/05/20,Online,100,Canceled
INN00005,2,0,1,1,Not Selected,Room_Type 1,48,4/11/2018,4,11,2018,2018/11/04,Online,94.5,Canceled
INN00006,2,0,0,2,Meal Plan 2,Room_Type 1,346,13-09-2018,13,09,2018,2018/09/13,Online,115,Canceled
INN00007,2,0,1,3,Meal Plan 1,Room_Type 1,34,15-10-2017,15,10,2017,2017/10/15,Online,107.55,Not_Canceled
INN00008,2,0,1,3,Meal Plan 1,Room_Type 4,83,26-12-2018,26,12,2018,2018/12/26,Online,105.61,Not_Canceled
INN00009,3,0,0,4,Meal Plan 1,Room_Type 1,121,7/6/2018,7,06,2018,2018/06/07,Offline,96.9,Not_Canceled
INN00010,2,0,0,5,Meal Plan 1,Room_Type 4,44,18-10-2018,18,10,2018,2018/10/18,Online,133.44,Not_Canceled
INN00011,1,0,1,0,Not Selected,Room_Type 1,0,9/11/2018,9,11,2018,2018/11/09,Online,85.03,Not_Canceled
INN00012,1,0,2,1,Meal Plan 1,Room_Type 4,35,30-04-2018,30,04,2018,2018/04/30,Online,140.4,Not_Canceled
INN00013,2,0,2,1,Not Selected,Room_Type 1,30,26-11-2018,26,11,2018,2018/11/26,Online,88,Canceled
INN00014,1,0,2,0,Meal Plan 1,Room_Type 1,95,20-11-2018,20,11,2018,2018/11/20,Online,90,Canceled
INN00015,2,0,0,2,Meal Plan 1,Room_Type 1,47,20-10-2017,20,10,2017,2017/10/20,Online,94.5,Not_Canceled
INN00016,2,0,0,2,Meal Plan 2,Room_Type 1,256,15-06-2018,15,06,2018,2018/06/15,Online,115,Canceled
INN00017,1,0,1,0,Meal Plan 1,Room_Type 1,0,10/5/2017,10,05,2017,2017/05/10,Offline,96,Not_Canceled
INN00018,2,0,1,3,Not Selected,Room_Type 1,1,8/10/2017,8,10,2017,2017/10/08,Online,96,Not_Canceled
INN00019,2,0,2,2,Meal Plan 1,Room_Type 1,99,30-10-2017,30,10,2017,2017/10/30,Online,65,Canceled
INN00020,2,0,1,0,Meal Plan 1,Room_Type 1,12,10/4/2017,10,04,2017,2017/04/10,Offline,72,Not_Canceled
INN00021,2,0,2,2,Meal Plan 1,Room_Type 1,99,30-10-2017,30,10,2017,2017/10/30,Online,65,Canceled
INN00022,1,0,0,1,Meal Plan 1,Room_Type 1,122,25-11-2018,25,11,2018,2018/11/25,Corporate,67,Not_Canceled
INN00023,2,0,2,4,Meal Plan 1,Room_Type 1,2,20-03-2018,20,03,2018,2018/03/20,Offline,85,Not_Canceled
INN00024,2,0,0,3,Meal Plan 1,Room_Type 1,37,13-10-2018,13,10,2018,2018/10/13,Offline,105,Not_Canceled
INN00025,2,0,2,1,Not Selected,Room_Type 1,130,22-05-2018,22,05,2018,2018/05/22,Online,94.5,Not_Canceled
INN00026,2,0,0,2,Meal Plan 1,Room_Type 1,99,28-04-2018,28,04,2018,2018/04/28,Online,114.3,Not_Canceled
INN00027,2,0,1,1,Meal Plan 1,Room_Type 1,60,21-09-2017,21,09,2017,2017/09/21,Offline,65,Not_Canceled
INN00028,1,0,0,2,Meal Plan 1,Room_Type 4,2,19-05-2018,19,05,2018,2018/05/19,Aviation,110,Canceled
INN00029,1,0,1,2,Meal Plan 1,Room_Type 1,37,11/6/2017,11,06,2017,2017/06/11,Online,37.33,Canceled
INN00030,2,0,0,2,Meal Plan 2,Room_Type 1,56,17-09-2017,17,09,2017,2017/09/17,Offline,82,Not_Canceled
INN00031,2,0,1,1,Meal Plan 1,Room_Type 4,3,19-09-2017,19,09,2017,2017/09/19,Online,177.5,Not_Canceled
INN00032,2,0,2,2,Meal Plan 1,Room_Type 1,107,13-11-2018,13,11,2018,2018/11/13,Online,87.5,Not_Canceled
INN00033,0,2,0,3,Meal Plan 1,Room_Type 2,56,12/7/2018,12,07,2018,2018/07/12,Online,82.44,Not_Canceled
INN00034,2,0,0,1,Not Selected,Room_Type 1,2,1/9/2018,1,09,2018,2018/09/01,Online,69.5,Not_Canceled
INN00035,2,0,0,2,Meal Plan 1,Room_Type 1,72,10/7/2018,10,07,2018,2018/07/10,Offline,85.5,Not_Canceled
INN00036,2,0,0,1,Not Selected,Room_Type 1,23,27-04-2018,27,04,2018,2018/04/27,Online,115,Not_Canceled
INN00037,1,0,2,1,Meal Plan 1,Room_Type 1,34,19-06-2018,19,06,2018,2018/06/19,Online,81,Canceled
INN00038,2,0,0,1,Meal Plan 1,Room_Type 1,289,17-10-2017,17,10,2017,2017/10/17,Offline,67,Not_Canceled
INN00039,2,0,2,3,Not Selected,Room_Type 1,247,19-11-2018,19,11,2018,2018/11/19,Online,63.75,Canceled
INN00040,2,0,2,1,Meal Plan 1,Room_Type 4,186,30-07-2018,30,07,2018,2018/07/30,Online,121.8,Canceled
INN00041,2,0,0,4,Meal Plan 1,Room_Type 1,64,11/1/2018,11,01,2018,2018/01/11,Online,93.6,Not_Canceled
INN00042,2,0,0,2,Meal Plan 1,Room_Type 1,35,21-06-2018,21,06,2018,2018/06/21,Online,102,Not_Canceled
INN00043,3,0,2,1,Meal Plan 1,Room_Type 1,96,4/10/2018,4,10,2018,2018/10/04,Online,121.8,Not_Canceled
INN00044,2,0,1,1,Not Selected,Room_Type 1,41,27-06-2018,27,06,2018,2018/06/27,Online,98.1,Canceled
INN00045,2,0,0,4,Meal Plan 1,Room_Type 4,55,18-11-2017,18,11,2017,2017/11/18,Offline,60,Not_Canceled
INN00046,2,0,0,3,Meal Plan 1,Room_Type 1,146,29-12-2017,29,12,2017,2017/12/29,Offline,75,Not_Canceled
INN00047,1,0,0,2,Meal Plan 1,Room_Type 1,32,20-11-2017,20,11,2017,2017/11/20,Offline,73,Not_Canceled
INN00048,2,0,0,1,Meal Plan 2,Room_Type 1,55,4/6/2018,4,06,2018,2018/06/04,Offline,104,Not_Canceled
INN00049,2,0,0,4,Not Selected,Room_Type 1,57,11/1/2018,11,01,2018,2018/01/11,Online,79.2,Not_Canceled
INN00050,1,0,1,3,Meal Plan 1,Room_Type 4,7,29-12-2018,29,12,2018,2018/12/29,Online,125.8,Not_Canceled
INN00051,1,0,2,5,Not Selected,Room_Type 1,124,30-05-2018,30,05,2018,2018/05/30,Online,87.95,Not_Canceled
INN00052,2,0,2,2,Meal Plan 2,Room_Type 1,169,22-04-2018,22,04,2018,2018/04/22,Online,106,Canceled
INN00053,1,0,1,2,Meal Plan 1,Room_Type 1,6,16-05-2018,16,05,2018,2018/05/16,Online,136.67,Not_Canceled
INN00054,2,0,0,4,Meal Plan 1,Room_Type 4,51,11/11/2017,11,11,2017,2017/11/11,Offline,60,Not_Canceled
INN00055,2,0,1,0,Not Selected,Room_Type 1,13,13-06-2018,13,06,2018,2018/06/13,Online,89,Not_Canceled
INN00056,2,0,1,3,Meal Plan 1,Room_Type 1,100,19-05-2018,19,05,2018,2018/05/19,Online,136,Not_Canceled
INN00057,2,0,0,1,Not Selected,Room_Type 1,139,28-07-2018,28,07,2018,2018/07/28,Online,94.5,Not_Canceled
INN00058,2,0,1,2,Meal Plan 1,Room_Type 1,117,26-12-2018,26,12,2018,2018/12/26,Online,93.6,Not_Canceled
INN00059,2,0,1,4,Meal Plan 1,Room_Type 4,39,20-04-2018,20,04,2018,2018/04/20,Online,120.6,Canceled
INN00060,2,0,0,3,Meal Plan 1,Room_Type 4,86,4/6/2018,4,06,2018,2018/06/04,Online,99.3,Not_Canceled
INN00061,2,2,0,1,Meal Plan 1,Room_Type 6,2,9/2/2018,9,02,2018,2018/02/09,Online,258,Not_Canceled
INN00062,1,0,0,3,Meal Plan 1,Room_Type 4,19,5/3/2018,5,03,2018,2018/03/05,Online,120.12,Not_Canceled
INN00063,1,0,0,2,Meal Plan 1,Room_Type 1,192,24-06-2018,24,06,2018,2018/06/24,Offline,95,Not_Canceled
INN00064,1,0,0,1,Meal Plan 1,Room_Type 1,2,9/10/2017,9,10,2017,2017/10/09,Complementary,0,Not_Canceled
INN00065,2,0,2,1,Meal Plan 1,Room_Type 1,86,18-12-2018,18,12,2018,2018/12/18,Offline,75,Not_Canceled
INN00066,2,0,0,3,Meal Plan 1,Room_Type 4,30,10/5/2018,10,05,2018,2018/05/10,Online,157.5,Not_Canceled
INN00067,2,0,0,2,Meal Plan 1,Room_Type 4,179,6/3/2018,6,03,2018,2018/03/06,Online,97.7,Not_Canceled
INN00068,2,0,0,2,Meal Plan 1,Room_Type 4,26,15-04-2018,15,04,2018,2018/04/15,Online,142,Canceled
INN00069,2,0,0,1,Meal Plan 1,Room_Type 1,55,4/6/2018,4,06,2018,2018/06/04,Offline,80,Not_Canceled
INN00070,2,0,1,2,Meal Plan 1,Room_Type 1,74,25-04-2018,25,04,2018,2018/04/25,Online,85.5,Not_Canceled
INN00071,2,0,0,3,Meal Plan 1,Room_Type 1,143,25-08-2018,25,08,2018,2018/08/25,Offline,100,Not_Canceled
INN00072,2,0,1,0,Not Selected,Room_Type 1,34,14-11-2018,14,11,2018,2018/11/14,Online,88,Not_Canceled
INN00073,2,0,1,1,Meal Plan 1,Room_Type 1,30,29-08-2018,29,08,2018,2018/08/29,Online,122.85,Not_Canceled
INN00074,2,0,0,2,Meal Plan 1,Room_Type 1,177,6/3/2018,6,03,2018,2018/03/06,Online,100,Canceled
INN00075,2,0,2,3,Meal Plan 1,Room_Type 4,34,25-10-2017,25,10,2017,2017/10/25,Offline,75,Not_Canceled
INN00076,2,0,1,4,Meal Plan 1,Room_Type 4,18,3/9/2018,3,09,2018,2018/09/03,Online,116.8,Not_Canceled
INN00077,3,0,1,1,Meal Plan 1,Room_Type 4,267,31-12-2018,31,12,2018,2018/12/31,Online,121.5,Not_Canceled
INN00078,2,0,1,2,Meal Plan 1,Room_Type 1,64,27-06-2018,27,06,2018,2018/06/27,Online,111.9,Not_Canceled
INN00079,3,0,2,5,Meal Plan 1,Room_Type 4,155,28-06-2018,28,06,2018,2018/06/28,Online,121.55,Canceled
INN00080,2,0,0,5,Meal Plan 1,Room_Type 1,46,29-03-2018,29,03,2018,2018/03/29,Offline,75,Not_Canceled
INN00081,2,2,0,2,Meal Plan 1,Room_Type 6,83,4/1/2018,4,01,2018,2018/01/04,Online,159.3,Canceled
INN00082,2,0,0,5,Meal Plan 1,Room_Type 4,128,10/11/2018,10,11,2018,2018/11/10,Online,132.3,Canceled
INN00083,2,0,2,0,Not Selected,Room_Type 1,20,25-12-2018,25,12,2018,2018/12/25,Online,88,Not_Canceled
INN00084,2,0,1,4,Meal Plan 1,Room_Type 4,40,14-03-2018,14,03,2018,2018/03/14,Online,98.82,Not_Canceled
INN00085,2,0,1,2,Meal Plan 1,Room_Type 4,46,3/4/2018,3,04,2018,2018/04/03,Online,98.3,Not_Canceled
INN00086,1,0,1,0,Meal Plan 1,Room_Type 1,1,17-10-2018,17,10,2018,2018/10/17,Online,150,Not_Canceled
INN00087,2,0,2,3,Not Selected,Room_Type 1,196,9/4/2018,9,04,2018,2018/04/09,Online,96.05,Not_Canceled
INN00088,1,0,0,2,Meal Plan 1,Room_Type 1,188,15-06-2018,15,06,2018,2018/06/15,Online,130,Canceled
INN00089,2,0,0,1,Not Selected,Room_Type 1,17,12/10/2018,12,10,2018,2018/10/12,Online,95,Not_Canceled
INN00090,2,0,0,3,Meal Plan 1,Room_Type 5,146,8/9/2018,8,09,2018,2018/09/08,Offline,113.56,Not_Canceled
INN00091,2,0,1,3,Not Selected,Room_Type 1,110,5/5/2018,5,05,2018,2018/05/05,Online,101.58,Not_Canceled
INN00092,2,0,1,2,Meal Plan 1,Room_Type 1,68,18-03-2018,18,03,2018,2018/03/18,Online,105.3,Not_Canceled
INN00093,2,0,2,1,Meal Plan 1,Room_Type 4,73,4/9/2018,4,09,2018,2018/09/04,Online,115.8,Not_Canceled
INN00094,2,0,0,1,Meal Plan 1,Room_Type 4,92,19-05-2018,19,05,2018,2018/05/19,Online,149.4,Not_Canceled
INN00095,2,0,2,5,Meal Plan 1,Room_Type 1,171,30-08-2018,30,08,2018,2018/08/30,Online,111.59,Canceled
INN00096,2,1,0,2,Meal Plan 1,Room_Type 1,134,8/4/2018,8,04,2018,2018/04/08,Online,130.5,Not_Canceled
INN00097,2,0,0,2,Meal Plan 2,Room_Type 1,320,18-08-2018,18,08,2018,2018/08/18,Online,115,Canceled
INN00098,2,0,0,4,Meal Plan 1,Room_Type 1,118,13-04-2018,13,04,2018,2018/04/13,Online,90.95,Not_Canceled
INN00099,2,0,0,3,Meal Plan 1,Room_Type 1,30,17-11-2018,17,11,2018,2018/11/17,Online,76.08,Not_Canceled
INN00100,2,2,1,3,Meal Plan 1,Room_Type 6,30,22-12-2018,22,12,2018,2018/12/22,Online,156.9,Not_Canceled
INN00101,2,0,1,0,Not Selected,Room_Type 1,189,23-10-2018,23,10,2018,2018/10/23,Online,85.5,Not_Canceled
INN00102,3,0,1,2,Meal Plan 1,Room_Type 4,55,13-05-2018,13,05,2018,2018/05/13,Online,159.3,Not_Canceled
INN00103,1,0,0,4,Meal Plan 1,Room_Type 1,55,13-12-2018,13,12,2018,2018/12/13,Online,74.8,Not_Canceled
INN00104,2,0,0,1,Meal Plan 1,Room_Type 1,16,31-10-2017,31,10,2017,2017/10/31,Online,95,Not_Canceled
INN00105,2,0,0,3,Meal Plan 1,Room_Type 1,24,10/8/2017,10,08,2017,2017/08/10,Online,107,Not_Canceled
INN00106,2,0,0,3,Meal Plan 1,Room_Type 1,8,16-02-2018,16,02,2018,2018/02/16,Offline,64,Not_Canceled
INN00107,2,0,1,4,Meal Plan 1,Room_Type 1,10,11/2/2017,11,02,2017,2017/02/11,Online,82.95,Not_Canceled
INN00108,2,0,1,3,Meal Plan 1,Room_Type 4,0,21-09-2017,21,09,2017,2017/09/21,Online,155,Not_Canceled
INN00109,2,0,0,1,Not Selected,Room_Type 1,12,30-06-2018,30,06,2018,2018/06/30,Online,101.68,Not_Canceled
INN00110,2,0,2,1,Meal Plan 1,Room_Type 1,32,9/5/2017,9,05,2017,2017/05/09,Online,94.5,Not_Canceled
INN00111,2,0,0,2,Meal Plan 1,Room_Type 1,182,30-09-2018,30,09,2018,2018/09/30,Online,117.9,Canceled
INN00112,2,0,1,0,Not Selected,Room_Type 1,1,27-06-2018,27,06,2018,2018/06/27,Online,127,Not_Canceled
INN00113,2,0,0,3,Not Selected,Room_Type 1,122,16-06-2018,16,06,2018,2018/06/16,Online,116.1,Not_Canceled
INN00114,2,0,2,3,Meal Plan 1,Room_Type 1,40,30-06-2018,30,06,2018,2018/06/30,Online,117.9,Not_Canceled
INN00115,2,2,2,2,Meal Plan 1,Room_Type 2,116,26-06-2018,26,06,2018,2018/06/26,Online,184.24,Canceled
INN00116,3,0,2,2,Meal Plan 1,Room_Type 4,123,13-08-2018,13,08,2018,2018/08/13,Online,155.7,Not_Canceled
INN00117,3,0,2,5,Meal Plan 1,Room_Type 4,40,22-04-2018,22,04,2018,2018/04/22,Online,135.76,Canceled
INN00118,2,1,2,5,Meal Plan 1,Room_Type 1,105,11/12/2018,11,12,2018,2018/12/11,Online,102.83,Not_Canceled
INN00119,2,0,0,1,Meal Plan 1,Room_Type 1,443,29-04-2018,29,04,2018,2018/04/29,Online,65,Canceled
INN00120,2,0,2,3,Meal Plan 1,Room_Type 1,2,14-11-2017,14,11,2017,2017/11/14,Online,103,Not_Canceled
INN00121,2,0,0,3,Meal Plan 1,Room_Type 1,317,9/1/2018,9,01,2018,2018/01/09,Online,106.2,Canceled
INN00122,2,0,0,2,Meal Plan 2,Room_Type 1,286,16-09-2018,16,09,2018,2018/09/16,Offline,58.5,Not_Canceled
INN00123,2,0,1,3,Meal Plan 1,Room_Type 1,68,3/10/2018,3,10,2018,2018/10/03,Online,73.95,Canceled
INN00124,2,0,0,3,Meal Plan 1,Room_Type 1,148,5/5/2018,5,05,2018,2018/05/05,Online,105.3,Not_Canceled
INN00125,3,0,2,0,Meal Plan 1,Room_Type 4,68,24-04-2018,24,04,2018,2018/04/24,Online,133.2,Not_Canceled
INN00126,2,0,0,2,Meal Plan 1,Room_Type 1,30,30-03-2018,30,03,2018,2018/03/30,Offline,85.5,Not_Canceled
INN00127,1,0,0,1,Meal Plan 1,Room_Type 1,14,11/3/2018,11,03,2018,2018/03/11,Online,112,Canceled
INN00128,2,2,0,2,Meal Plan 1,Room_Type 6,110,14-10-2018,14,10,2018,2018/10/14,Online,190.8,Canceled
INN00129,1,0,2,3,Meal Plan 1,Room_Type 1,117,6/5/2018,6,05,2018,2018/05/06,Offline,110,Not_Canceled
INN00130,2,0,1,4,Meal Plan 1,Room_Type 4,85,13-07-2018,13,07,2018,2018/07/13,Online,91.48,Not_Canceled
INN00131,2,0,0,2,Not Selected,Room_Type 1,1,20-10-2018,20,10,2018,2018/10/20,Online,135,Not_Canceled
INN00132,1,0,1,2,Meal Plan 1,Room_Type 1,25,17-10-2018,17,10,2018,2018/10/17,Online,129,Not_Canceled
INN00133,2,0,2,4,Not Selected,Room_Type 1,289,28-12-2018,28,12,2018,2018/12/28,Online,70.55,Canceled
INN00134,2,0,1,4,Meal Plan 1,Room_Type 4,28,19-10-2017,19,10,2017,2017/10/19,Offline,75,Not_Canceled
INN00135,1,0,0,4,Not Selected,Room_Type 1,80,29-03-2018,29,03,2018,2018/03/29,Online,72.25,Not_Canceled
INN00136,2,0,0,1,Meal Plan 1,Room_Type 4,11,10/9/2017,10,09,2017,2017/09/10,Online,155,Not_Canceled
INN00137,2,1,1,0,Meal Plan 1,Room_Type 1,162,25-07-2018,25,07,2018,2018/07/25,Online,121.5,Canceled
INN00138,2,0,2,5,Meal Plan 1,Room_Type 1,155,28-06-2018,28,06,2018,2018/06/28,Online,90.95,Not_Canceled
INN00139,1,0,2,2,Meal Plan 1,Room_Type 1,82,22-05-2018,22,05,2018,2018/05/22,Online,109.65,Not_Canceled
INN00140,3,0,2,4,Meal Plan 1,Room_Type 4,27,15-04-2018,15,04,2018,2018/04/15,Online,142.72,Canceled
INN00141,1,0,1,2,Meal Plan 1,Room_Type 1,13,5/9/2018,5,09,2018,2018/09/05,Offline,90,Not_Canceled
INN00142,2,0,0,2,Meal Plan 1,Room_Type 1,245,17-06-2018,17,06,2018,2018/06/17,Online,75,Canceled
INN00143,2,0,0,2,Meal Plan 1,Room_Type 1,11,18-11-2018,18,11,2018,2018/11/18,Online,111,Canceled
INN00144,2,0,2,2,Meal Plan 1,Room_Type 1,266,30-10-2018,30,10,2018,2018/10/30,Online,86.7,Not_Canceled
INN00145,2,0,1,0,Meal Plan 1,Room_Type 1,39,28-03-2018,28,03,2018,2018/03/28,Online,117.9,Not_Canceled
INN00146,1,0,0,2,Meal Plan 1,Room_Type 1,13,6/1/2018,6,01,2018,2018/01/06,Complementary,0,Not_Canceled
INN00147,2,0,0,4,Not Selected,Room_Type 1,112,5/4/2018,5,04,2018,2018/04/05,Online,101.58,Not_Canceled
INN00148,2,0,1,2,Not Selected,Room_Type 1,88,4/8/2018,4,08,2018,2018/08/04,Online,58.9,Not_Canceled
INN00149,2,0,0,1,Meal Plan 1,Room_Type 1,56,6/8/2018,6,08,2018,2018/08/06,Offline,120,Not_Canceled
INN00150,2,0,2,3,Meal Plan 1,Room_Type 4,73,4/7/2018,4,07,2018,2018/07/04,Online,107.1,Canceled
INN00151,2,0,1,1,Meal Plan 1,Room_Type 1,80,5/2/2018,5,02,2018,2018/02/05,Online,126.9,Not_Canceled
INN00152,2,0,0,3,Meal Plan 1,Room_Type 4,130,29-09-2018,29,09,2018,2018/09/29,Online,139.5,Canceled
INN00153,2,0,1,3,Not Selected,Room_Type 1,69,4/4/2018,4,04,2018,2018/04/04,Online,80.75,Not_Canceled
INN00154,2,0,0,2,Meal Plan 2,Room_Type 1,273,17-07-2017,17,07,2017,2017/07/17,Online,109,Canceled
INN00155,2,0,0,1,Meal Plan 2,Room_Type 1,55,4/6/2018,4,06,2018,2018/06/04,Offline,104,Not_Canceled
INN00156,1,0,0,3,Meal Plan 1,Room_Type 1,4,11/1/2018,11,01,2018,2018/01/11,Corporate,65,Not_Canceled
INN00157,2,0,0,3,Meal Plan 1,Room_Type 4,97,24-05-2018,24,05,2018,2018/05/24,Online,140.4,Not_Canceled
INN00158,2,0,0,3,Meal Plan 1,Room_Type 1,44,17-02-2018,17,02,2018,2018/02/17,Offline,75,Not_Canceled
INN00159,2,0,0,1,Not Selected,Room_Type 1,31,14-04-2018,14,04,2018,2018/04/14,Online,94.5,Canceled
INN00160,2,0,1,0,Not Selected,Room_Type 1,0,6/5/2018,6,05,2018,2018/05/06,Online,109,Not_Canceled
INN00161,2,0,2,2,Meal Plan 1,Room_Type 1,62,11/12/2018,11,12,2018,2018/12/11,Online,105,Not_Canceled
INN00162,2,0,2,2,Meal Plan 1,Room_Type 4,86,17-04-2018,17,04,2018,2018/04/17,Online,107.95,Not_Canceled
INN00163,3,0,2,2,Meal Plan 1,Room_Type 7,3,10/7/2018,10,07,2018,2018/07/10,Online,215.6,Not_Canceled
INN00164,2,0,1,1,Not Selected,Room_Type 1,197,8/1/2018,8,01,2018,2018/01/08,Online,85.5,Not_Canceled
INN00165,2,0,0,2,Meal Plan 1,Room_Type 1,143,7/12/2018,7,12,2018,2018/12/07,Online,105.3,Not_Canceled
INN00166,1,0,2,1,Meal Plan 2,Room_Type 1,23,1/2/2018,1,02,2018,2018/02/01,Online,1,Not_Canceled
INN00167,2,0,0,2,Meal Plan 1,Room_Type 4,8,15-06-2018,15,06,2018,2018/06/15,Online,156,Canceled
INN00168,1,0,0,2,Meal Plan 1,Room_Type 1,13,16-11-2018,16,11,2018,2018/11/16,Online,73.15,Not_Canceled
INN00169,2,0,1,2,Meal Plan 1,Room_Type 1,280,19-09-2018,19,09,2018,2018/09/19,Online,110,Canceled
INN00170,2,1,1,0,Not Selected,Room_Type 1,11,13-09-2017,13,09,2017,2017/09/13,Online,87.4,Not_Canceled
INN00171,2,0,0,2,Meal Plan 1,Room_Type 1,317,15-09-2018,15,09,2018,2018/09/15,Online,120,Canceled
INN00172,2,0,1,2,Not Selected,Room_Type 1,185,16-12-2018,16,12,2018,2018/12/16,Online,79.2,Canceled
INN00173,2,0,1,3,Meal Plan 1,Room_Type 1,160,30-06-2018,30,06,2018,2018/06/30,Online,90.95,Not_Canceled
